cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia,cl_nvidia
backprop,bfs,b+tree,dwt2d,gaussian,heartwall,hybridsort,kmeans,lavaMD,lud,myocyte,nn,nw,pathfinder,srad
1.066877743,1.043544144,1.147843386,1.129205047,1.09167842,1.14904387,1.104278075,1.0541351,1.003917379,0.998806683,2.477737502,1.030100294,1.020698049,1.106554586,1.056580075
tf_py,tf_py,,,,,,,,,,,,,
VGG,inception_v3,,,,,,,,,,,,,
0.999829458,1.005326093,,,,,,,,,,,,,
cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd,cl_amd
backprop,bfs,b+tree,dwt2d,gaussian,heartwall,hybridsort,kmeans,lavaMD,lud,myocyte,nn,nw,pathfinder,srad
1.066224636,1.059728507,1.13528874,1.045981267,1.001141247,1.025838218,1.112104744,1.024687772,1.00907312,1.001811441,1.666205123,0.980968179,1.014715719,1.08207024,1.025797101
tf_lite,tf_lite,,,,,,,,,,,,,
classification,detection,,,,,,,,,,,,,
1.070419399,1.02274489,,,,,,,,,,,,,
fpga,,,,,,,,,,,,,,
bitcoin,,,,,,,,,,,,,,
1.00708802,,,,,,,,,,,,,,
cuda,cuda,cuda,cuda,cuda,cuda,cuda,cuda,cuda,cuda,cuda,,,,
backprop,bfs,gaussian,heartwall,hotspot,lud,needle,nn,pathfinder,srad_v1,srad_v2,,,,
1.114893748,1.031608621,1.067299685,1.094175096,1.033881797,1.022025541,1.013558887,1.035294118,1.090028649,1.045085082,1.077713265,,,,
ncsdk,,,,,,,,,,,,,,
inception_v3,,,,,,,,,,,,,,
1.007333673,,,,,,,,,,,,,,
gti,gti,,,,,,,,,,,,,
mnet,resnet,,,,,,,,,,,,,
0.98,0.96,,,,,,,,,,,,,
tf_c,tf_c,tf_c,tf_c,,,,,,,,,,,
inference,image-x1,image-x100,image-x500,,,,,,,,,,,
1.012618297,1.031555273,1.031166358,1.022565066,,,,,,,,,,,
qat,,,,,,,,,,,,,,
qatzip,,,,,,,,,,,,,,
1.383551776,,,,,,,,,,,,,,
hip,hip,hip,,,,,,,,,,,,
bfs,sssp,pagerank,,,,,,,,,,,,
1.053333333,1.210101868,1.288898234,,,,,,,,,,,,
